file_keys,BBC,Blanco,FXive,Farnell,Max,Saksela,,BBC,Blanco,FXive,Farnell,Max,Saksela
xuSatqSZG9rKxJ09Usis48LRdeI8ZTOz,0.976494845,0.347216495,0.035051546,0.616494845,0.529484536,0.115876289,,"0.976494845360824,","0.34721649484536,","0.0350515463917525,","0.616494845360824,","0.529484536082474,","0.115876288659793,"
qUw1DOuzoulobfxt2otfumTeQ5dteZsu,1,0.001187648,0.603325416,0.648456057,0.503562945,0.30760095,,"1,","0.001187648456057,","0.603325415676959,","0.648456057007125,","0.503562945368171,","0.307600950118764,"
NOPqOCHwh4PtWfvL58FwrYkjF79EEVKJ,0.586450247,0.020465773,0.355681016,0.863091037,0.838390967,0.211009174,,"0.586450247000705,","0.0204657727593507,","0.355681016231474,","0.863091037402964,","0.838390966831333,","0.211009174311926,"
Q9NBAL5Zb03787J4Hi8Q4nBebQGjdrK3,0.931690141,0.080985915,0.151408451,0.564084507,0.448591549,0.248591549,,"0.93169014084507,","0.0809859154929577,","0.151408450704225,","0.564084507042253,","0.448591549295774,","0.248591549295774,"
w0NW92KM78KWBE0G4rrPj3weXv7kcBaf,0.99726776,0,0.472677596,0.287795993,0.256830601,0.157559199,,"0.997267759562841,","0,","0.472677595628415,","0.287795992714025,","0.256830601092896,","0.157559198542805,"
Vs8cvRzQUFYYphS2oUfsXiXPnYwxcqAo,0.999445676,0.001108647,0.065964523,0.496119734,0.0327051,0.099223947,,"0.999445676274944,","0.00110864745011086,","0.0659645232815964,","0.496119733924611,","0.0327050997782705,","0.0992239467849224,"
qvMChwHZGowwdj65LURkWnCzJSlSsnPH,0.994481913,0.118332311,0.255058246,0.669527897,0.316370325,0.41385653,,"0.994481912936848,","0.118332311465358,","0.255058246474555,","0.669527896995708,","0.316370324954015,","0.413856529736358,"
6W0Upue4iwLQMUJBwmk8ClPFM12Uvcui,0.729348556,0.00402955,0.055070517,0.227669577,0.092008059,0.106783076,,"0.729348556077904,","0.00402955003357958,","0.0550705171255876,","0.227669576897246,","0.0920080591000671,","0.106783075889858,"
MLzU0ljU7arxWDBUe4cGFKFFfgfPDZow,0.883161512,0.152920962,0.386597938,0.278350515,0.23024055,0.125429553,,"0.883161512027491,","0.152920962199312,","0.386597938144329,","0.278350515463917,","0.230240549828178,","0.125429553264604,"
GuWHIjK5PP6lGGl423thcBtp3EnQM6e7,0.916901408,0.019014085,0.15915493,0.521830986,0.373239437,0.054929577,,"0.916901408450704,","0.0190140845070422,","0.159154929577464,","0.521830985915492,","0.373239436619718,","0.0549295774647887,"
d809BhETvuIdpqdvpi3qhf5hqPeR0SOJ,0.908456844,0.010462075,0.727114211,0.318221447,0.964254577,0.420226678,,"0.908456843940714,","0.010462074978204,","0.727114210985178,","0.318221447253705,","0.964254577157802,","0.420226678291194,"
soWuS57YCgvCe7oplvva23cBBaQFHgrJ,0.6904,0.0912,0.7536,0.1952,0.5168,0.8264,,"0.6904,","0.0912,","0.7536,","0.1952,","0.5168,","0.8264,"
638d2zlXsl88ulZwZRK3hF9dbqxWG4dm,1,0.139135255,0.517184035,0.721175166,0.902993348,0.47172949,,"1,","0.139135254988913,","0.517184035476718,","0.721175166297117,","0.902993348115299,","0.471729490022172,"
